Sl.No.,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
1,GP,F,15,R,GT3,T,3,4,services,teacher,father,2,3,2,no,yes,no,no,yes,yes,yes,4,2,2,2,2,5,0,12,0,0
2,GP,M,15,R,GT3,T,3,2,other,other,mother,2,2,2,yes,yes,no,no,yes,yes,yes,4,4,4,1,4,3,6,5,9,7
3,GP,M,15,U,GT3,T,4,2,other,other,mother,1,4,0,no,no,no,no,yes,yes,no,3,3,3,1,1,3,0,10,10,10
4,GP,M,15,R,GT3,T,2,3,at_home,services,mother,1,2,0,yes,no,yes,yes,yes,no,no,4,4,4,1,1,1,2,11,8,8
5,GP,F,15,U,GT3,T,4,2,health,services,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
6,GP,M,15,R,GT3,T,3,4,at_home,teacher,mother,4,2,0,no,yes,no,no,yes,no,yes,5,3,3,1,1,5,0,9,0,0
7,GP,F,15,U,LE3,A,3,4,other,other,mother,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11
8,GP,M,15,U,GT3,T,3,4,services,services,father,1,1,0,yes,no,no,no,yes,yes,no,5,5,5,3,2,5,0,13,13,12
9,GP,F,15,U,GT3,T,4,4,services,at_home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,0,11,0,0
10,GP,F,15,U,GT3,T,2,1,services,other,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
11,GP,M,15,U,LE3,T,4,4,health,services,father,1,1,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
12,GP,M,15,U,GT3,T,4,3,teacher,other,mother,2,2,0,no,yes,yes,no,yes,yes,no,5,4,3,1,2,3,2,10,10,11
13,GP,M,15,U,GT3,A,2,2,other,other,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
14,GP,M,15,U,GT3,T,2,2,services,services,father,1,4,0,no,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15
15,GP,F,15,U,GT3,T,1,2,at_home,services,mother,1,2,0,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15
16,GP,M,15,U,GT3,T,4,4,services,teacher,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18
17,GP,M,15,U,LE3,T,4,4,teacher,other,other,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12
18,GP,M,15,U,LE3,A,4,4,teacher,teacher,mother,1,1,0,no,no,no,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19
19,GP,F,15,U,LE3,T,1,1,at_home,other,mother,1,2,3,yes,no,yes,no,yes,yes,no,4,3,2,2,3,3,10,7,8,10
20,GP,F,15,U,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,yes,no,yes,yes,no,3,3,3,1,2,2,0,10,8,9
21,GP,M,15,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,1,1,0,13,14,15
22,GP,M,15,U,GT3,T,3,4,other,other,father,1,1,0,no,no,no,no,yes,yes,no,3,4,3,1,2,4,6,14,13,13
23,GP,F,15,U,GT3,T,4,3,services,other,mother,1,1,0,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18
24,GP,M,15,R,GT3,T,2,1,health,services,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9
25,GP,M,15,U,GT3,T,4,2,health,services,mother,1,1,0,no,no,yes,no,yes,yes,no,2,2,4,2,4,1,4,15,16,15
26,GP,M,15,U,GT3,T,4,4,services,services,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17
27,GP,M,15,U,GT3,T,4,4,health,services,mother,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12
28,GP,F,15,R,GT3,T,2,4,services,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
29,GP,M,15,U,GT3,T,4,4,other,teacher,father,2,2,0,no,yes,no,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14
30,GP,M,15,U,GT3,T,2,2,other,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,4,2,2,1,2,5,2,12,12,11
31,GP,M,15,R,GT3,T,4,3,teacher,at_home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16
32,GP,M,15,U,LE3,T,3,3,other,other,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,2,1,1,2,0,8,10,12
33,GP,M,15,U,LE3,T,4,2,teacher,other,mother,1,1,0,no,no,no,no,yes,yes,no,3,5,2,1,1,3,10,18,19,19
34,GP,F,15,U,GT3,T,4,4,teacher,teacher,mother,2,1,0,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15
35,GP,F,15,U,GT3,T,2,3,other,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6
36,GP,M,15,U,LE3,T,4,3,teacher,services,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18
37,GP,F,15,U,GT3,T,4,4,teacher,services,mother,1,3,0,no,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11
38,GP,M,15,U,GT3,T,4,4,health,health,father,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,1,1,5,0,12,15,15
39,GP,M,15,U,GT3,T,4,3,teacher,services,father,2,4,0,yes,yes,no,no,yes,yes,no,2,2,2,1,1,3,0,7,9,0
40,GP,M,15,U,LE3,A,3,2,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,2,2,1,1,1,0,16,18,19
41,GP,F,15,U,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,no,yes,yes,no,3,3,4,2,3,5,0,8,10,11
42,GP,M,15,U,GT3,T,2,2,services,services,father,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,0,8,8,11
43,GP,M,15,U,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15
44,GP,F,15,U,GT3,T,1,1,other,services,father,1,2,0,no,yes,yes,no,yes,yes,no,4,4,2,1,2,5,0,8,11,11
45,GP,M,15,R,GT3,T,4,4,other,other,father,4,4,0,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13
46,GP,M,15,U,GT3,T,4,2,teacher,other,mother,1,2,0,no,yes,yes,no,yes,no,no,4,3,3,2,2,5,2,15,15,14
47,GP,F,15,U,GT3,T,4,4,services,teacher,father,1,2,1,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,3,2,7,7,7
48,GP,F,15,U,GT3,T,3,2,health,services,father,1,2,3,no,yes,no,no,yes,yes,no,3,3,2,1,1,3,0,6,7,0
49,GP,F,15,U,LE3,T,4,2,health,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,5,2,11,13,13
50,GP,M,15,U,LE3,A,4,2,health,health,father,2,1,1,no,no,no,no,yes,no,no,5,5,5,3,4,5,6,11,11,10
51,GP,F,15,U,LE3,A,3,3,other,other,mother,1,1,0,no,no,yes,no,yes,yes,no,5,3,4,4,4,1,6,10,13,13
52,GP,F,15,U,GT3,T,1,2,at_home,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,10,11,11
53,GP,F,15,U,GT3,A,3,3,other,health,father,1,4,0,yes,no,no,no,yes,no,no,4,3,3,1,1,4,10,10,11,11
54,GP,M,15,U,GT3,A,3,4,services,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18
55,GP,F,15,U,GT3,T,3,2,services,other,mother,2,2,0,yes,yes,yes,no,yes,yes,no,4,3,5,1,1,2,26,7,6,6
56,GP,M,15,U,GT3,T,4,4,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,10,13,14
57,GP,F,15,R,LE3,T,2,2,health,services,mother,2,2,0,yes,yes,yes,no,yes,yes,no,4,1,3,1,3,4,2,8,9,8
58,GP,F,15,R,GT3,T,3,4,services,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11
59,GP,F,15,R,GT3,T,2,2,at_home,other,mother,1,1,0,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13
60,GP,M,15,U,GT3,T,3,4,other,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
61,GP,F,15,U,LE3,A,4,3,other,other,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
62,GP,F,15,U,GT3,A,4,3,services,services,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15
63,GP,M,15,U,LE3,T,1,2,other,at_home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9
64,GP,F,15,U,LE3,T,4,3,services,services,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10
65,GP,M,15,U,LE3,A,2,1,services,other,mother,4,1,3,no,no,no,no,yes,yes,no,4,5,5,2,5,5,0,8,9,10
66,GP,F,15,U,GT3,T,2,2,other,other,mother,1,4,0,yes,yes,yes,no,yes,yes,no,5,1,2,1,1,3,8,7,8,8
67,GP,F,15,R,LE3,T,3,1,other,other,father,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16
68,GP,F,15,R,GT3,T,1,1,other,other,mother,1,2,2,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5
69,GP,F,15,R,GT3,T,3,3,services,services,other,2,3,2,no,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10
70,GP,M,15,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10
71,GP,M,15,U,GT3,T,4,0,teacher,other,mother,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10
72,GP,F,15,R,GT3,T,1,1,at_home,other,mother,2,4,1,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10
73,GP,F,15,U,GT3,T,1,1,at_home,other,mother,3,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,2,4,0,8,0,0
74,GP,M,15,U,LE3,T,2,2,services,health,mother,1,4,0,no,yes,no,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14
75,GP,F,15,U,GT3,T,1,1,other,other,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,2,3,4,2,9,10,10
76,GP,F,15,U,GT3,T,4,4,services,services,father,2,2,2,no,no,yes,no,yes,yes,yes,4,4,4,2,3,5,6,7,9,8
77,GP,M,15,U,GT3,T,2,3,other,services,father,1,1,0,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,3,3,2,10,12,12
78,GP,M,15,U,GT3,T,2,3,other,other,mother,1,3,0,yes,no,yes,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11
79,GP,F,15,U,LE3,T,3,2,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,4,4,1,1,5,10,7,6,6
80,GP,M,15,U,LE3,T,2,2,services,services,mother,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15
81,GP,F,15,U,GT3,T,4,2,other,other,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14
82,GP,M,15,U,GT3,A,4,4,other,services,mother,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,5,5,3,4,13,13,12
83,GP,F,16,U,LE3,T,2,2,other,other,mother,2,2,1,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,3,25,7,10,11
84,GP,M,16,U,LE3,A,3,4,services,other,mother,1,2,0,yes,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11
85,GP,M,16,U,GT3,T,2,2,services,other,father,2,2,1,no,no,yes,yes,yes,yes,no,4,4,2,1,1,3,12,11,10,10
86,GP,F,16,U,LE3,T,2,2,other,at_home,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9
87,GP,F,16,U,GT3,A,2,1,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10
88,GP,M,16,U,GT3,T,3,2,other,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15
89,GP,F,16,U,LE3,A,3,3,other,services,mother,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,12,11,12,11
90,GP,M,16,R,GT3,A,4,4,other,teacher,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15
91,GP,M,16,U,GT3,T,4,4,teacher,teacher,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11
92,GP,F,16,U,LE3,T,2,2,services,services,mother,3,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,4,2,12,13,13
93,GP,F,16,R,GT3,T,4,4,health,teacher,mother,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11
94,GP,F,16,U,GT3,T,4,4,services,services,mother,1,3,0,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
95,GP,F,16,U,LE3,T,1,2,other,services,father,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9
96,GP,M,16,U,LE3,T,4,3,services,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
